date,open,high,low,close,volume,pc_slow_upper,pc_slow_lower,pc_fast_upper,pc_fast_lower,signal
2012-01-30,107.39,108.96,106.0,107.64,8621,143.92,103.92,111.5,103.92,flat
2012-01-31,107.52,108.52,104.52,106.41,8608,142.4,103.92,108.96,103.92,flat
2012-02-01,106.97,106.97,103.04,104.66,7843,142.4,103.92,108.96,104.52,flat
2012-02-02,105.82,105.82,101.36,102.17,8388,140.69,103.04,108.52,103.04,flat
2012-02-03,104.0,104.0,95.92,96.78,10293,137.92,101.36,106.97,101.36,flat
2012-02-06,100.39,100.39,94.84,95.91,8844,136.2,95.92,105.82,95.92,flat
2012-02-07,98.15,98.15,94.72,95.65,10411,133.96,94.84,104.0,94.84,flat
2012-02-08,96.9,98.48,95.2,96.81,10424,130.89,94.72,100.39,94.72,flat
2012-02-09,96.86,102.88,96.86,100.41,11735,129.8,94.72,98.48,94.72,flat
2012-02-10,98.64,117.84,98.64,111.18,15408,129.8,94.72,102.88,95.2,flat
2012-02-13,104.91,107.04,102.96,104.61,12475,129.8,94.72,117.84,96.86,flat
2012-02-14,104.76,112.64,104.36,106.92,16040,129.8,94.72,117.84,98.64,flat
2012-02-15,105.84,112.96,105.84,109.77,16546,125.88,94.72,112.64,102.96,flat
2012-02-16,107.81,116.84,107.36,111.72,16773,125.72,94.72,112.96,104.36,flat
2012-02-17,109.77,109.77,105.04,106.62,8324,123.54,94.72,116.84,105.84,flat
2012-02-21,108.2,108.2,104.8,105.92,12595,120.92,94.72,116.84,105.04,flat
2012-02-22,107.06,107.24,103.04,105.12,13936,118.39,94.72,109.77,104.8,flat
2012-02-23,106.09,106.09,95.8,100.03,13397,117.84,94.72,108.2,103.04,flat
2012-02-24,103.06,103.06,94.52,97.69,12743,117.84,94.72,107.24,95.8,flat
2012-02-27,100.38,104.2,97.96,101.78,14171,117.84,94.52,106.09,94.52,flat
2012-02-28,101.08,102.52,99.44,101.07,10289,117.84,94.52,104.2,94.52,flat
2012-02-29,101.07,101.07,96.32,98.39,17154,117.84,94.52,104.2,97.96,flat
2012-03-01,99.73,99.73,95.68,97.0,13474,117.84,94.52,102.52,96.32,flat
2012-03-02,98.37,98.37,95.56,96.72,11605,117.84,94.52,101.07,95.68,flat
2012-03-05,97.55,98.76,96.2,97.35,12293,117.84,94.52,99.73,95.56,flat
2012-03-06,97.45,105.0,97.45,103.24,18571,117.84,94.52,98.76,95.56,flat
2012-03-07,100.35,103.4,98.76,100.94,11257,117.84,94.52,105.0,96.2,flat
2012-03-08,100.65,100.65,94.6,95.83,10971,117.84,94.52,105.0,97.45,flat
2012-03-09,98.24,98.24,91.4,93.1,12872,117.84,94.52,103.4,94.6,flat
2012-03-12,95.67,95.67,88.76,90.54,13814,117.84,91.4,100.65,91.4,flat
2012-03-13,93.11,93.11,84.28,85.72,17300,117.84,88.76,98.24,88.76,flat
2012-03-14,89.42,89.92,84.16,86.52,17236,116.84,84.28,95.67,84.28,flat
2012-03-15,87.97,89.8,86.4,87.85,15103,116.84,84.16,93.11,84.16,flat
2012-03-16,87.91,87.91,85.52,86.24,13346,116.84,84.16,89.92,84.16,flat
2012-03-19,87.07,87.07,80.44,83.29,18428,116.84,84.16,89.8,85.52,flat
2012-03-20,85.18,85.18,77.24,80.23,17782,109.77,80.44,87.91,80.44,flat
2012-03-21,82.71,82.71,72.56,74.62,21005,108.2,77.24,87.07,77.24,flat
2012-03-22,78.66,78.66,73.4,75.59,21510,107.24,72.56,85.18,72.56,flat
2012-03-23,77.13,77.13,68.88,71.73,23066,106.09,72.56,82.71,72.56,flat
2012-03-26,74.43,74.43,62.28,64.52,20267,105.0,68.88,78.66,68.88,flat
2012-03-27,69.47,69.47,63.36,66.24,16248,105.0,62.28,77.13,62.28,flat
2012-03-28,67.85,75.36,67.68,70.27,24725,105.0,62.28,74.43,62.28,flat
2012-03-29,69.06,73.64,68.28,71.13,20325,105.0,62.28,75.36,63.36,flat
2012-03-30,70.1,70.1,66.0,67.07,16935,105.0,62.28,75.36,67.68,flat
2012-04-02,68.58,68.58,64.76,66.84,12094,105.0,62.28,73.64,66.0,flat
2012-04-03,67.71,70.32,66.28,67.97,17246,105.0,62.28,70.1,64.76,flat
2012-04-04,67.84,73.4,67.84,71.08,16780,105.0,62.28,70.32,64.76,flat
2012-04-05,69.46,72.0,69.46,71.19,12355,103.4,62.28,73.4,66.28,flat
2012-04-09,70.32,76.0,70.32,75.17,13545,100.65,62.28,73.4,67.84,flat
2012-04-10,72.75,82.2,72.75,78.96,27317,98.24,62.28,76.0,69.46,flat
2012-04-11,75.85,80.56,75.85,78.88,17293,95.67,62.28,82.2,70.32,flat
2012-04-12,77.36,79.36,72.8,76.1,17371,93.11,62.28,82.2,72.75,flat
2012-04-13,76.73,77.28,72.88,75.08,19255,89.92,62.28,80.56,72.8,flat
2012-04-16,75.91,78.52,73.68,75.64,18051,89.8,62.28,79.36,72.8,flat
2012-04-17,75.78,75.78,70.88,72.39,16749,87.91,62.28,78.52,72.88,flat
2012-04-18,74.09,74.09,70.96,72.59,15133,87.07,62.28,78.52,70.88,flat
2012-04-19,73.34,75.48,71.12,73.19,18739,85.18,62.28,75.78,70.88,flat
2012-04-20,73.27,73.27,70.32,71.32,13448,82.71,62.28,75.48,70.96,flat
2012-04-23,72.29,76.12,72.29,74.3,15528,82.2,62.28,75.48,70.32,flat
2012-04-24,73.3,73.48,71.68,72.47,11604,82.2,62.28,76.12,70.32,flat
2012-04-25,72.88,72.88,67.08,68.05,15424,82.2,62.28,76.12,71.68,flat
2012-04-26,70.47,70.47,64.32,66.04,12828,82.2,63.36,73.48,67.08,flat
2012-04-27,68.26,68.26,64.2,64.93,12420,82.2,64.32,72.88,64.32,flat
2012-04-30,66.6,66.64,65.12,65.9,9810,82.2,64.2,70.47,64.2,flat
2012-05-01,66.25,66.25,63.32,64.94,11309,82.2,64.2,68.26,64.2,flat
2012-05-02,65.6,66.2,64.08,65.13,10702,82.2,63.32,66.64,63.32,flat
2012-05-03,65.36,66.96,63.8,65.26,13647,82.2,63.32,66.25,63.32,flat
2012-05-04,65.31,70.0,65.31,68.07,16711,82.2,63.32,66.96,63.8,flat
2012-05-07,66.69,70.8,66.69,69.06,12033,82.2,63.32,70.0,63.8,flat
2012-05-08,67.88,72.8,67.88,69.68,22143,82.2,63.32,70.8,65.31,flat
2012-05-09,68.78,73.16,68.78,71.24,22531,82.2,63.32,72.8,66.69,flat
2012-05-10,70.01,70.01,67.96,68.91,15313,80.56,63.32,73.16,67.88,flat
2012-05-11,69.46,70.76,67.68,69.74,11366,79.36,63.32,73.16,67.96,flat
2012-05-14,69.6,74.0,69.6,73.15,18252,78.52,63.32,70.76,67.68,flat
2012-05-15,71.38,77.88,71.38,75.57,19065,78.52,63.32,74.0,67.68,flat
2012-05-16,73.47,80.6,73.47,78.08,21488,77.88,63.32,77.88,69.6,long
2012-05-17,75.78,84.16,75.78,81.66,25099,80.6,63.32,80.6,71.38,long
2012-05-18,78.72,91.12,78.72,86.76,31893,84.16,63.32,84.16,73.47,long
2012-05-21,82.74,90.28,79.6,84.65,26641,91.12,63.32,91.12,75.78,long
2012-05-22,83.7,85.08,75.12,80.34,21062,91.12,63.32,91.12,78.72,long
2012-05-23,82.02,87.2,80.16,83.26,31127,91.12,63.32,90.28,75.12,long
2012-05-24,82.64,84.8,79.96,81.73,19444,91.12,63.32,87.2,75.12,long
2012-05-25,82.19,82.19,80.4,81.22,13028,91.12,63.32,87.2,79.96,long
2012-05-29,81.71,81.71,76.68,77.97,16711,91.12,63.32,84.8,79.96,long
2012-05-30,79.84,82.24,79.04,80.63,17658,91.12,63.32,82.19,76.68,long
2012-05-31,80.24,87.12,80.24,83.44,20867,91.12,63.32,82.24,76.68,long
2012-06-01,81.84,90.56,81.84,89.39,26335,91.12,63.8,87.12,79.04,long
2012-06-04,85.62,91.48,85.62,88.27,22045,91.12,63.8,90.56,80.24,long
2012-06-05,86.95,87.64,84.12,86.0,16921,91.48,65.31,91.48,81.84,long
2012-06-06,86.48,86.48,78.56,80.56,17883,91.48,66.69,91.48,84.12,long
2012-06-07,83.52,83.52,74.64,76.44,20245,91.48,67.68,87.64,78.56,long
2012-06-08,79.98,79.98,73.6,76.05,15600,91.48,67.68,86.48,74.64,long
2012-06-11,78.02,80.04,70.52,75.33,22032,91.48,67.68,83.52,73.6,long
2012-06-12,76.68,81.92,76.68,79.35,21739,91.48,67.68,80.04,70.52,long
2012-06-13,78.02,83.68,78.02,81.11,22131,91.48,69.6,81.92,70.52,long
2012-06-14,79.57,83.0,77.24,79.81,22628,91.48,70.52,83.68,76.68,long
2012-06-15,79.69,79.69,73.0,75.31,18254,91.48,70.52,83.68,77.24,long
2012-06-18,77.5,77.5,67.68,70.82,23464,91.48,70.52,83.0,73.0,flat
2012-06-19,74.16,74.16,65.08,66.12,19170,91.48,67.68,79.69,67.68,flat
2012-06-20,70.14,70.14,63.64,65.68,26681,91.48,65.08,77.5,65.08,flat
2012-06-21,67.91,70.84,63.04,67.1,24186,91.48,63.64,74.16,63.64,flat
2012-06-22,67.51,69.4,63.2,66.08,20459,91.48,63.04,70.84,63.04,flat
2012-06-25,66.8,69.52,66.8,68.42,17031,91.48,63.04,70.84,63.04,flat
2012-06-26,67.61,69.36,65.8,67.15,14177,91.48,63.04,69.52,63.2,flat
2012-06-27,67.38,67.38,64.72,66.23,12368,91.48,63.04,69.52,65.8,flat
2012-06-28,66.81,69.16,64.96,66.8,19949,91.48,63.04,69.36,64.72,flat
2012-06-29,66.81,66.81,60.44,61.22,21963,91.48,63.04,69.16,64.72,flat
2012-07-02,64.02,64.02,56.68,58.37,19998,91.48,60.44,69.16,60.44,flat
2012-07-03,61.19,61.19,54.84,55.89,9828,91.48,56.68,66.81,56.68,flat
2012-07-05,58.54,58.54,55.96,56.94,15088,87.64,54.84,64.02,54.84,flat
2012-07-06,57.74,59.32,56.88,58.12,12493,86.48,54.84,61.19,54.84,flat
2012-07-09,57.93,58.0,55.92,56.78,12032,83.68,54.84,59.32,55.96,flat
2012-07-10,57.36,59.12,54.8,56.89,18218,83.68,54.84,59.32,55.92,flat
2012-07-11,57.13,58.92,55.68,57.17,16405,83.68,54.8,59.12,54.8,flat
2012-07-12,57.15,58.84,55.4,57.1,17223,83.68,54.8,59.12,54.8,flat
2012-07-13,57.13,57.13,53.4,54.69,20773,83.68,54.8,58.92,55.4,flat
2012-07-16,55.91,55.91,52.28,53.07,13183,83.0,53.4,58.84,53.4,flat
2012-07-17,54.49,54.49,50.52,51.69,19474,79.69,52.28,57.13,52.28,flat
2012-07-18,53.09,53.09,50.0,51.06,17131,77.5,50.52,55.91,50.52,flat
2012-07-19,52.08,52.16,50.2,50.92,15648,74.16,50.0,54.49,50.0,flat
2012-07-20,51.5,53.32,51.0,52.23,19478,70.84,50.0,53.09,50.0,flat
2012-07-23,51.86,58.88,51.86,56.86,20520,70.84,50.0,53.32,50.2,flat
2012-07-24,54.36,60.36,54.36,57.86,21290,69.52,50.0,58.88,51.0,flat
2012-07-25,56.11,60.4,56.11,58.38,15902,69.52,50.0,60.36,51.86,flat
2012-07-26,57.25,57.25,53.32,54.12,18171,69.36,50.0,60.4,54.36,flat
2012-07-27,55.69,55.69,50.92,51.68,18334,69.16,50.0,60.4,53.32,flat
2012-07-30,53.69,53.69,50.92,52.19,14008,69.16,50.0,57.25,50.92,flat
2012-07-31,52.94,54.68,52.94,54.06,12935,66.81,50.0,55.69,50.92,flat
2012-08-01,53.5,54.64,52.72,53.56,18202,64.02,50.0,54.68,50.92,flat
2012-08-02,53.53,55.28,52.2,53.59,22933,61.19,50.0,54.68,52.72,flat
2012-08-03,53.56,53.56,48.6,49.47,20487,60.4,50.0,55.28,52.2,flat
2012-08-06,51.52,51.52,46.88,47.62,13063,60.4,48.6,55.28,48.6,flat
2012-08-07,49.57,49.57,46.44,47.7,13154,60.4,46.88,53.56,46.88,flat
2012-08-08,48.64,49.0,46.68,47.77,15122,60.4,46.44,51.52,46.44,flat
2012-08-09,48.21,48.21,46.04,46.82,12709,60.4,46.44,49.57,46.44,flat
2012-08-10,47.52,47.52,45.72,46.45,13695,60.4,46.04,49.0,46.04,flat
2012-08-13,46.99,46.99,44.52,45.27,16202,60.4,45.72,48.21,45.72,flat
2012-08-14,46.13,47.04,44.56,45.85,20802,60.4,44.52,47.52,44.52,flat
2012-08-15,45.99,47.32,45.88,46.81,14107,60.4,44.52,47.04,44.52,flat
2012-08-16,46.4,47.68,46.04,46.67,15392,60.4,44.52,47.32,44.56,flat
2012-08-17,46.54,46.54,44.44,45.23,16255,60.4,44.52,47.68,45.88,flat
2012-08-20,45.89,45.96,44.72,45.17,13861,60.4,44.44,47.68,44.44,flat
2012-08-21,45.53,46.4,44.12,45.18,16684,60.4,44.44,46.54,44.44,flat
2012-08-22,45.36,47.28,45.36,46.57,20751,60.4,44.12,46.4,44.12,flat
2012-08-23,45.97,47.88,45.97,47.05,16972,60.4,44.12,47.28,44.12,flat
2012-08-24,46.51,47.92,45.0,46.52,13292,57.25,44.12,47.88,45.36,flat
2012-08-27,46.52,46.52,44.6,45.29,15168,55.69,44.12,47.92,45.0,flat
2012-08-28,45.91,46.68,45.64,46.3,13648,55.28,44.12,47.92,44.6,flat
2012-08-29,46.11,46.76,45.48,46.33,10610,55.28,44.12,46.68,44.6,flat
2012-08-30,46.22,48.16,46.22,47.68,10131,55.28,44.12,46.76,45.48,flat
2012-08-31,46.95,47.92,45.76,46.67,23301,55.28,44.12,48.16,45.48,flat
2012-09-04,46.81,47.08,45.64,46.19,16419,53.56,44.12,48.16,45.76,flat
2012-09-05,46.5,46.5,44.28,45.01,14286,51.52,44.12,47.92,45.64,flat
2012-09-06,45.76,45.76,39.88,41.71,26556,49.57,44.12,47.08,44.28,flat
2012-09-07,43.74,43.74,37.48,38.37,23838,49.0,39.88,46.5,39.88,flat
2012-09-10,41.06,41.06,36.96,38.66,22329,48.21,37.48,45.76,37.48,flat
2012-09-11,39.86,40.04,38.44,39.38,22430,48.16,36.96,43.74,36.96,flat
2012-09-12,39.62,39.62,38.04,38.63,15075,48.16,36.96,41.06,36.96,flat
2012-09-13,39.13,39.13,35.24,37.01,21764,48.16,36.96,40.04,38.04,flat
2012-09-14,38.07,38.07,34.2,35.67,21491,48.16,35.24,39.62,35.24,flat
2012-09-17,36.87,37.36,36.36,36.85,15661,48.16,34.2,39.13,34.2,flat
2012-09-18,36.86,36.96,35.28,36.08,11866,48.16,34.2,38.07,34.2,flat
2012-09-19,36.47,36.47,34.68,35.12,13818,48.16,34.2,37.36,35.28,flat
2012-09-20,35.8,36.28,35.04,35.51,17658,48.16,34.2,36.96,34.68,flat
2012-09-21,35.66,35.66,34.32,34.86,18932,48.16,34.2,36.47,34.68,flat
2012-09-24,35.26,35.36,34.0,34.72,18665,48.16,34.2,36.28,34.32,flat
2012-09-25,34.99,37.0,33.92,35.46,22505,48.16,34.0,35.66,34.0,flat
2012-09-26,35.23,39.12,35.23,38.03,30504,48.16,33.92,37.0,33.92,flat
2012-09-27,36.63,37.64,34.8,36.11,19464,48.16,33.92,39.12,33.92,flat
2012-09-28,36.37,36.37,34.84,35.69,23016,48.16,33.92,39.12,34.8,flat
2012-10-01,36.03,36.56,34.16,35.52,15407,48.16,33.92,37.64,34.8,flat
2012-10-02,35.78,36.84,35.52,35.93,16705,47.92,33.92,36.56,34.16,flat
2012-10-03,35.86,36.44,34.96,35.62,18380,47.08,33.92,36.84,34.16,flat
2012-10-04,35.74,35.74,34.6,34.92,18276,46.5,33.92,36.84,34.96,flat
2012-10-05,35.33,35.33,33.12,33.82,65450,45.76,33.92,36.44,34.6,flat
2012-10-08,34.58,34.84,34.17,34.52,25131,43.74,33.12,35.74,33.12,flat
2012-10-09,34.55,36.16,34.4,35.27,29446,41.06,33.12,35.33,33.12,flat
2012-10-10,34.91,36.37,34.91,35.71,38617,40.04,33.12,36.16,34.17,flat
2012-10-11,35.31,35.33,34.58,34.98,20817,39.62,33.12,36.37,34.4,flat
2012-10-12,35.14,35.64,34.19,34.94,32303,39.13,33.12,36.37,34.58,flat
2012-10-15,35.04,35.83,34.08,34.79,39911,39.12,33.12,35.64,34.19,flat
2012-10-16,34.92,34.92,33.23,33.52,33857,39.12,33.12,35.83,34.08,flat
2012-10-17,34.22,34.22,32.79,33.21,33939,39.12,33.12,35.83,33.23,flat
2012-10-18,33.72,33.72,32.48,32.99,47061,39.12,32.79,34.92,32.79,flat
2012-10-19,33.36,35.33,33.16,34.16,76318,39.12,32.48,34.22,32.48,flat
2012-10-22,33.76,35.93,33.76,34.96,53509,39.12,32.48,35.33,32.48,flat
2012-10-23,34.36,37.69,34.36,36.91,87492,39.12,32.48,35.93,33.16,flat
2012-10-24,35.64,37.73,35.64,37.13,51978,39.12,32.48,37.69,33.76,flat
2012-10-25,36.39,37.36,35.97,36.49,50097,39.12,32.48,37.73,34.36,flat
2012-10-26,36.44,37.35,35.82,36.48,53495,37.73,32.48,37.73,35.64,flat
2012-10-31,36.46,37.42,35.54,36.39,38151,37.73,32.48,37.36,35.82,flat
2012-11-01,36.42,36.78,34.02,35.39,47577,37.73,32.48,37.42,35.54,flat
2012-11-02,35.91,35.91,33.44,34.26,53388,37.73,32.48,37.42,34.02,flat
2012-11-05,35.08,36.45,35.08,35.65,42154,37.73,32.48,36.78,33.44,flat
2012-11-06,35.36,35.65,33.86,34.78,43869,37.73,32.48,36.45,33.44,flat
2012-11-07,35.07,37.41,34.83,36.08,108162,37.73,32.48,36.45,33.86,flat
2012-11-08,35.58,37.43,35.58,36.89,87718,37.73,32.48,37.41,33.86,flat
2012-11-09,36.24,37.64,36.02,37.1,58792,37.73,32.48,37.43,34.83,flat
2012-11-12,36.67,36.76,34.68,35.74,43570,37.73,32.48,37.64,35.58,flat
2012-11-13,36.21,36.21,33.93,35.03,49864,37.73,32.48,37.64,34.68,flat
2012-11-14,35.62,36.57,33.75,35.04,61289,37.73,32.48,36.76,33.93,flat
2012-11-15,35.33,37.49,35.32,36.28,76192,37.73,32.48,36.57,33.75,flat
2012-11-16,35.81,37.22,34.64,35.63,86720,37.73,32.48,37.49,33.75,flat
2012-11-19,35.72,35.72,31.67,32.58,52274,37.73,32.48,37.49,34.64,flat
2012-11-20,34.15,34.15,31.08,31.36,39916,37.73,31.67,37.22,31.67,flat
2012-11-21,32.75,32.75,30.51,31.14,37069,37.73,31.08,35.72,31.08,flat
2012-11-23,31.95,31.95,30.01,30.38,31942,37.73,30.51,34.15,30.51,flat
2012-11-26,31.17,31.17,29.7,30.18,57595,37.73,30.01,32.75,30.01,flat
2012-11-27,30.68,30.68,29.3,29.92,61178,37.73,29.7,31.95,29.7,flat
2012-11-28,30.3,31.48,29.41,30.31,94068,37.64,29.3,31.17,29.3,flat
2012-11-29,30.31,30.31,28.94,29.21,60134,37.64,29.3,31.48,29.3,flat
2012-11-30,29.76,29.9,28.83,29.29,47192,37.64,28.94,31.48,28.94,flat
2012-12-03,29.53,30.29,28.82,29.55,53202,37.64,28.83,30.31,28.83,flat
2012-12-04,29.54,31.15,29.54,30.56,63625,37.64,28.82,30.29,28.82,flat
2012-12-05,30.05,31.43,30.03,30.6,83003,37.64,28.82,31.15,28.82,flat
2012-12-06,30.33,30.79,30.07,30.4,42195,37.64,28.82,31.43,29.54,flat
2012-12-07,30.37,30.75,29.41,29.91,48480,37.64,28.82,31.43,30.03,flat
2012-12-10,30.14,30.14,29.53,29.81,23641,37.64,28.82,30.79,29.41,flat
2012-12-11,29.98,29.98,28.84,29.22,34504,37.64,28.82,30.75,29.41,flat
2012-12-12,29.6,29.65,28.59,29.14,36078,37.49,28.82,30.14,28.84,flat
2012-12-13,29.37,30.6,29.35,29.9,41681,37.49,28.59,29.98,28.59,flat
2012-12-14,29.64,30.72,29.64,30.35,34373,37.49,28.59,30.6,28.59,flat
2012-12-17,30.0,30.48,29.24,29.87,30885,37.49,28.59,30.72,29.35,flat
2012-12-18,29.94,29.94,27.95,28.48,43036,37.22,28.59,30.72,29.24,flat
2012-12-19,29.21,29.84,28.12,28.98,49613,35.72,27.95,30.48,27.95,flat
2012-12-20,29.1,30.7,29.1,30.1,45059,34.15,27.95,29.94,27.95,flat
2012-12-21,29.6,33.13,29.6,32.67,75173,32.75,27.95,30.7,28.12,long
2012-12-24,31.14,32.41,31.14,32.07,18318,33.13,27.95,33.13,29.1,long
2012-12-26,31.61,33.8,31.61,33.13,35395,33.13,27.95,33.13,29.6,long
